DATE,WILL5000INDFC
9/27/2019,139.7
9/30/2019,140.39
10/1/2019,138.59
10/2/2019,136.28
10/3/2019,137.41
10/4/2019,139.23
10/7/2019,138.69
10/8/2019,136.51
10/9/2019,137.71
10/10/2019,138.5
10/11/2019,140.14
10/14/2019,139.9
10/15/2019,141.28
10/16/2019,140.95
10/17/2019,141.47
10/18/2019,140.88
10/21/2019,141.89
10/22/2019,141.4
10/23/2019,141.77
10/24/2019,142.13
10/25/2019,142.76
10/28/2019,143.57
10/29/2019,143.43
10/30/2019,143.84
10/31/2019,143.31
11/1/2019,144.81
11/4/2019,145.36
11/5/2019,145.21
11/6/2019,145.13
11/7/2019,145.59
11/8/2019,146.02
11/11/2019,145.75
11/12/2019,145.95
11/13/2019,146
11/14/2019,146.14
11/15/2019,147.24
11/18/2019,147.28
11/19/2019,147.33
11/20/2019,146.87
11/21/2019,146.61
11/22/2019,146.95
11/25/2019,148.27
11/26/2019,148.59
11/27/2019,149.25
11/28/2019,.
11/29/2019,148.62
12/2/2019,147.28
12/3/2019,146.38
12/4/2019,147.26
12/5/2019,147.44
12/6/2019,148.75
12/9/2019,148.34
12/10/2019,148.22
12/11/2019,148.59
12/12/2019,149.81
12/13/2019,149.76
12/16/2019,150.87
12/17/2019,150.98
12/18/2019,151.02
12/19/2019,151.7
12/20/2019,152.44
12/23/2019,152.58
12/24/2019,152.6
12/25/2019,.
12/26/2019,153.37
12/27/2019,153.24
12/30/2019,152.4
12/31/2019,152.86
1/1/2020,.
1/2/2020,154.07
1/3/2020,153.16
1/6/2020,153.72
1/7/2020,153.38
1/8/2020,154.07
1/9/2020,155.02
1/10/2020,154.57
1/13/2020,155.74
1/14/2020,155.67
1/15/2020,155.97
1/16/2020,157.34
1/17/2020,157.76
1/20/2020,.
1/21/2020,157.3
1/22/2020,157.36
1/23/2020,157.53
1/24/2020,156.03
1/27/2020,153.65
1/28/2020,155.18
1/29/2020,155.02
1/30/2020,155.5
1/31/2020,152.82
2/3/2020,154.07
2/4/2020,156.45
2/5/2020,157.91
2/6/2020,158.35
2/7/2020,157.53
2/10/2020,158.67
2/11/2020,159.15
2/12/2020,160.24
2/13/2020,160.13
2/14/2020,160.42
2/17/2020,.
2/18/2020,160.13
2/19/2020,160.95
2/20/2020,160.49
2/21/2020,158.78
2/24/2020,153.54
2/25/2020,148.81
2/26/2020,147.97
2/27/2020,141.68
2/28/2020,140.48
3/2/2020,146.51
3/3/2020,142.57
3/4/2020,148.23
3/5/2020,143.3
3/6/2020,140.68
3/9/2020,129.58
3/10/2020,135.71
3/11/2020,128.77
3/12/2020,116.25
3/13/2020,126.71
3/16/2020,111.2
3/17/2020,117.57
3/18/2020,110.8
3/19/2020,112.36
3/20/2020,107.79
3/23/2020,104.9
3/24/2020,114.62
3/25/2020,116.19
3/26/2020,123.23
3/27/2020,119.1
3/30/2020,122.75
3/31/2020,121.01
4/1/2020,115.46
4/2/2020,117.76
4/3/2020,115.82
4/6/2020,124
4/7/2020,123.95
4/8/2020,128.35
4/9/2020,130.61
4/10/2020,.
4/13/2020,129.25
4/14/2020,133.15
4/15/2020,130.16
4/16/2020,130.85
4/17/2020,134.48
4/20/2020,132.26
4/21/2020,128.28
4/22/2020,131.22
4/23/2020,131.39
4/24/2020,133.21
4/27/2020,135.58
4/28/2020,135.04
4/29/2020,139
4/30/2020,137.35
5/1/2020,133.32
5/4/2020,133.99
5/5/2020,135.24
5/6/2020,134.44
5/7/2020,136.25
5/8/2020,138.88
5/11/2020,138.87
5/12/2020,135.9
5/13/2020,133.28
5/14/2020,134.77
5/15/2020,135.51
5/18/2020,140.05
5/19/2020,138.65
5/20/2020,141.14
5/21/2020,140.21
5/22/2020,140.65
5/25/2020,.
5/26/2020,142.54
5/27/2020,144.74
5/28/2020,144.18
5/29/2020,144.97
6/1/2020,145.82
6/2/2020,147.03
6/3/2020,149.22
6/4/2020,148.71
6/5/2020,152.51
6/8/2020,154.7
6/9/2020,153.27
6/10/2020,152.24
6/11/2020,143.19
6/12/2020,145.18
6/15/2020,146.78
6/16/2020,149.52
6/17/2020,148.85
6/18/2020,149.06
6/19/2020,148.33
6/22/2020,149.31
6/23/2020,149.9
6/24/2020,145.96
6/25/2020,147.6
6/26/2020,143.98
6/29/2020,146.17
6/30/2020,148.46
7/1/2020,149.18
7/2/2020,149.86
7/3/2020,.
7/6/2020,152.22
7/7/2020,150.62
7/8/2020,151.92
7/9/2020,151.07
7/10/2020,152.74
7/13/2020,150.89
7/14/2020,152.9
7/15/2020,154.68
7/16/2020,154.08
7/17/2020,154.56
7/20/2020,156.02
7/21/2020,156.28
7/22/2020,157.09
7/23/2020,155.24
7/24/2020,154.09
7/27/2020,155.42
7/28/2020,154.31
7/29/2020,156.45
7/30/2020,155.96
7/31/2020,156.91
8/3/2020,158.31
8/4/2020,158.94
8/5/2020,160.13
8/6/2020,160.99
